DVD_Title,Studio,Released,Status,Sound,Versions,Price,Rating,Year,Genre,Aspect,UPC,DVD_ReleaseDate,ID,Timestamp,Updated
"10-Movie Horror Collection, Vol. 14",Echo Bridge,7/3/17,Pending,2.0,4:3,$14.99,NR,VAR,Horror,1.33:1,096009468446,7/3/17,300032,5/9/17,0
100: Complete 4th Season,Warner Brothers,7/18/17,Pending,5.1,"LBX, 16:9",$24.98,NR,2017,TV Classics,1.78:1,883929564590,7/18/17,300071,5/9/17,0
2017 NCAA Men's Basketball Championship (DVD & Blu-ray Combo),Team Marketing,5/23/17,Pending,2.0,"LBX, 16:9, BLU-RAY",$24.95,NR,2017,Sports,1.78:1,825452528304,5/23/17,300053,5/9/17,0
3 Tails,Dreamscape Media,,Out,2.0,4:3,$24.95,NR,UNK,Family,1.33:1,818506021067,5/9/17,299736,5/9/17,1
4 Kid Favorites: What's New Scooby-Doo?: Zoinks! Camera! Action! / Monster Matinee / Monstrous Tails / Route Scary Six,Warner Brothers,6/6/17,Pending,2.0,4:3,$14.97,NR,VAR,Animation,1.33:1,883929593965,6/6/17,300101,5/9/17,0
6 Models In Hell,Sector 5 Films,6/27/17,Pending,2.0,"LBX, 16:9",$19.99,NR,2012,Horror,1.78:1,812073022724,6/27/17,300016,5/9/17,0
8-Bit Generation: The Commodore Wars,Kino Lorber,,Out,2.0,"LBX, 16:9",$29.95,NR,2016,Documentary,1.85:1,738329214098,5/9/17,299520,5/9/17,1
Alena,KimStim,,Out,2.0,"LBX, 16:9",$29.99,NR,2015,Foreign,2.35:1,698452212838,5/9/17,299430,5/9/17,1
ALF (Lions Gate): Seasons 1 - 4,Lions Gate,,Out,2.0,4:3,$59.98,NR,VAR,TV Classics,1.33:1,031398263685,5/9/17,299266,5/9/17,1
Alien Implant,Reality Entertainment,,Out,2.0,4:3,$14.95,NR,UNK,Horror,1.33:1,191091363911,5/9/17,299468,5/9/17,1
Aliens From Area 51,Sector 5 Films,6/27/17,Pending,2.0,4:3,$24.99,NR,UNK,Special Interest,1.33:1,812073022717,6/27/17,300103,5/9/17,0
Alpha And Omega: Journey To Bear Kingdom,Lions Gate,,Out,5.1,"LBX, 16:9",$14.98,NR,UNK,Animation,1.78:1,031398260479,5/9/17,299267,5/9/17,1
American Masters: Alice Waters And Her Delicious Revolution,PBS,6/27/17,Pending,2.0,"LBX, 16:9",$24.99,NR,2003,Documentary,1.78:1,841887033572,6/27/17,300104,5/9/17,0
American Mummy,Wild Eye Releasing,,Out,2.0,"LBX, 16:9",$14.95,NR,2014,Horror,1.85:1,760137984399,5/9/17,299606,5/9/17,1
American Mummy (Blu-ray 3D/ Blu-ray/ Limited Edition),Wild Eye Releasing,,Out,2.0,"LBX, 16:9, BLU-RAY",$24.95,NR,2014,Horror,1.85:1,760137984986,5/9/17,299563,5/9/17,1
Americana (2016),Passion River,7/11/17,Pending,2.0,"LBX, 16:9",$19.99,NR,2016,Drama,1.85:1,602573246313,7/11/17,300001,5/9/17,0
Amy Bento Ross: Stepletic: Two Step Workouts,BayView Films,,Out,2.0,"LBX, 16:9",$19.99,NR,2017,Exercise,1.78:1,812073022113,5/9/17,299425,5/9/17,1
Anime Girls Gone Wild,Adult Source Media,,Out,SUB,"LBX, 16:9",$24.95,UR,UNK,Anime,1.78:1,653341252746,5/9/17,299469,5/9/17,1
Animosity (Bloody Earth Films),Bloody Earth Films,,Out,2.0,"LBX, 16:9",$19.98,NR,2013,Horror,2.35:1,612385010699,9/9/14,267298,5/9/17,1
Animosity (POP Cinema/ Special Edition),POP Cinema,7/18/17,Pending,2.0,"LBX, 16:9",$19.99,NR,2013,Horror,2.35:1,812073022670,7/18/17,300028,5/9/17,0
Apprentice (2016),Omnibus Entertainment,,Out,SUB,"LBX, 16:9",$24.95,NR,2016,Foreign,1.85:1,859686006123,5/9/17,299634,5/9/17,1
Aquarius: The Complete 2nd Season,Lions Gate,6/13/17,Pending,5.1,"LBX, 16:9",$49.98,NR,2016,TV Classics,1.78:1,031398265177,6/13/17,300062,5/9/17,0
Arcimboldo: Nature And Fantasy,Kino Lorber,,Out,2.0,"LBX, 16:9",$14.99,NR,2010,Documentary,1.78:1,738329215569,5/9/17,299596,5/9/17,1
Ares 11,IMD Films,6/27/17,Pending,2.0,"LBX, 16:9",$12.95,NR,2016,SciFi,1.85:1,858199006156,6/27/17,300037,5/9/17,0
Audubon,PBS,6/20/17,Pending,2.0,"LBX, 16:9",$24.99,NR,UNK,Documentary,1.78:1,841887033695,6/20/17,300088,5/9/17,0
Babies: A Miracle,Ruthless Films,,Out,2.0,"LBX, 16:9",$19.95,NR,2017,Family,1.78:1,760137976592,5/9/17,299506,5/9/17,1
Bannon's War: Frontline,PBS,8/8/17,Pending,2.0,"LBX, 16:9",$24.99,NR,2017,Documentary,1.78:1,841887033947,8/8/17,300073,5/9/17,0
Barbie Princess & Puppy Pack: The Diamond Castle / A Fashion Fairytale / Princess & The Popstar / Great Puppy Adventure / ...,Universal,,Out,5.1,"LBX, 16:9",$34.98,NR,VAR,Animation,1.78:1,191329015513,5/9/17,299415,5/9/17,1
Bats (1999/ Blu-ray) / The Blob (Blu-ray) / Chupacabra Terror (Blu-ray) / Night Of The Living Dead (Blu-ray) / ...,Sony Pictures,6/12/17,Pending,5.1 DTS-HD,"LBX, 16:9, BLU-RAY",$38.99,R,VAR,Horror,VAR,043396511828,6/12/17,299997,5/9/17,0
"Best Arbuckle/Keaton Collection, Vol. 2: Good Night, Nurse! / Back Stage / The Hayseed / The Garage",Flicker Alley,,Out,SIL,4:3,$20.99,NR,VAR,Silent,1.33:1,889290091017,3/28/17,300049,5/9/17,0
Bhopali,IndiePix,,Out,SUB,"LBX, 16:9",$24.95,NR,2011,Foreign,1.85:1,845637001477,2/21/12,300068,5/9/17,0
Big Pacific,PBS,8/1/17,Pending,2.0,"LBX, 16:9",$29.99,NR,2017,Documentary,1.78:1,841887033787,8/1/17,300006,5/9/17,0
Big Pacific (Blu-ray),PBS,8/1/17,Pending,2.0,"LBX, 16:9, BLU-RAY",$34.99,NR,2017,Documentary,1.78:1,841887033923,8/1/17,300067,5/9/17,0
Bloodsucker's Handbook,Wild Eye Releasing,,Out,2.0,4:3,$19.95,NR,2012,Horror,1.33:1,760137974796,5/9/17,299530,5/9/17,1
Bodies (2016),Girls And Corpses,,Out,2.0,"LBX, 16:9",$14.95,NR,2016,Horror,1.78:1,760137983293,5/9/17,299603,5/9/17,1
Breastmilk,Kino Lorber,,Out,2.0,"LBX, 16:9",$29.95,NR,2014,Documentary,1.78:1,738329211929,5/9/17,299508,5/9/17,1
Bye Bye Man (Blu-ray/ Rental Ready),Universal,,Out,5.1 DTS-HD,"LBX, 16:9, BLU-RAY",$34.98,PG-13,2017,Horror,1.85:1,025192360091,5/9/17,299682,5/9/17,1
Bye Bye Man (Rental Ready),Universal,,Out,5.1,"LBX, 16:9",$29.98,PG-13,2017,Horror,1.85:1,025192360060,5/9/17,299672,5/9/17,1
Cannibal Messiah,Sub Rosa Studios,,Out,SUB,"LBX, 16:9",$14.95,NR,2016,Foreign,1.85:1,760137977599,5/9/17,299585,5/9/17,1
Chef's Wife,Icarus Films,,Out,SUB,"LBX, 16:9",$26.98,NR,2014,Foreign,2.35:1,854565002043,5/9/17,299507,5/9/17,1
Class Divide (On Demand DVD-R),HBO Digital Dist.,,Out,2.0,"LBX, 16:9",$19.98,NR,2016,Documentary,1.78:1,888574509439,4/19/17,300074,5/9/17,0
Cloudy With A Chance Of Sunshine,House Lights Media,7/18/17,Pending,2.0,"LBX, 16:9",$19.99,NR,2016,Comedy,1.85:1,855332003324,7/18/17,300098,5/9/17,0
Clown Kill,Wild Eye Releasing,,Out,2.0,"LBX, 16:9",$14.95,NR,2016,Horror,1.85:1,760137971795,5/9/17,299561,5/9/17,1
Curse Of The Sleeping Beauty (Blu-ray/ On Demand DVD-R),XLrator,,Out,2.0,"LBX, 16:9, BLU-RAY",$19.99,NR,2016,Fantasy,2.35:1,818522016719,5/2/17,299995,5/9/17,0
Curse Of The Sleeping Beauty (On Demand DVD-R),XLrator,,Out,2.0,"LBX, 16:9",$14.99,NR,2016,Fantasy,2.35:1,818522016702,5/2/17,300083,5/9/17,0
"D.W. Griffith Years Of Discovery, 1909-1913, Vol. 1: The Musketeers Of Pig Alley / Corner In Wheat / Female Of The Species / ...",Flicker Alley,,Out,SIL,4:3,$20.99,NR,VAR,Silent,1.33:1,889290092069,3/14/17,300051,5/9/17,0
"D.W. Griffith Years Of Discovery, 1909-1913, Vol. 2: The New York Hat / The Burglar's Dilemma / The House Of Darkness / ...",Flicker Alley,,Out,SIL,4:3,$20.99,NR,VAR,Silent,1.33:1,889290092076,3/14/17,300033,5/9/17,0
Dark Harvest (2004),Artisan,,Discontinued,5.1,"LBX, 16:9",$14.98,R,2004,Horror,1.78:1,012236150909,4/20/04,39280,5/9/17,1
Dark Harvest (2016),Intervision Picture,5/30/17,Pending,2.0,"LBX, 16:9",$19.98,NR,2016,Suspense/Thriller,1.85:1,663390001806,5/30/17,300066,5/9/17,0
Dead Gamers,Wild Eye Releasing,,Out,2.0,"LBX, 16:9",$19.95,NR,2014,Action/Adventure,1.78:1,760137971993,5/9/17,299572,5/9/17,1
Decoy (1957): The Complete 39 Episode Series,Film Chest,5/30/17,Pending,2.0,4:3,$19.98,NR,VAR,TV Classics,1.33:1,874757064192,5/30/17,299993,5/9/17,0
Decoy (2006),Echo Bridge,,Out,2.0,LBX,$6.99,NR,2006,Western,1.85:1,096009508999,7/24/07,110711,5/9/17,1
Diaghilev And The Ballets Rosses,Kino Lorber,,Out,2.0,"LBX, 16:9",$14.99,NR,2013,Documentary,1.78:1,738329215538,5/9/17,299593,5/9/17,1
Diff'rent Strokes (Shout! Factory): The Complete 6th Season (Blu-ray),Shout! Factory,7/25/17,Pending,2.0,"4:3, BLU-RAY",$19.97,NR,1983,TV Classics,1.33:1,826663178043,7/25/17,300087,5/9/17,0
Divorce (2016): The Complete 1st Season (Blu-ray w/ Digital Copy),HBO,,Out,2.0,"LBX, 16:9, BLU-RAY",$24.98,NR,2016,TV Classics,1.78:1,883929579297,5/9/17,298972,5/9/17,1
Divorce (2016): The Complete 1st Season (w/ Digital Copy),HBO,,Out,2.0,"LBX, 16:9",$19.98,NR,2016,TV Classics,1.78:1,883929579303,5/9/17,298961,5/9/17,1
Drone,Screen Media Films,7/3/17,Pending,2.0,"LBX, 16:9",$24.95,NR,2017,Action/Adventure,1.85:1,814838014777,7/3/17,300048,5/9/17,0
Dunkirk: Retreat / Evacuation / Survival,BBC Home Video,6/27/17,Pending,2.0,"LBX, 16:9",$19.98,NR,UNK,War,1.78:1,883929591480,6/27/17,300102,5/9/17,0
